,sea-1,sv0-1,sea-2,sv0-2
75,,281474976692560.0,281474976692608.0,281474976692560.0
77,,281474976692640.0,281474976692624.0,281474976692560.0
78,,281474976692640.0,281474976692624.0,281474976692560.0
79,,281474976692640.0,281474976692624.0,281474976692560.0
80,,281474976692640.0,281474976692624.0,281474976692560.0
81,,281474976692640.0,281474976692624.0,281474976692560.0
82,,281474976692640.0,281474976692624.0,281474976692560.0
83,,281474976692640.0,281474976692624.0,281474976692560.0
88,,281474976692576.0,281474976692608.0,281474976692576.0
89,,281474976692576.0,281474976692608.0,281474976692576.0
90,,281474976692576.0,281474976692608.0,281474976692576.0
91,,281474976692576.0,281474976692608.0,281474976692576.0
92,,281474976692576.0,281474976692608.0,281474976692576.0
93,,281474976692576.0,281474976692608.0,281474976692576.0
98,,281474976692512.0,281474976692544.0,281474976692512.0
99,,281474976692512.0,281474976692544.0,281474976692512.0
100,,281474976692512.0,281474976692544.0,281474976692512.0
101,,281474976692512.0,281474976692544.0,281474976692512.0
102,,281474976692512.0,281474976692544.0,281474976692512.0
103,,281474976692512.0,281474976692544.0,281474976692512.0
104,,281474976692512.0,281474976692544.0,281474976692512.0
105,,281474976692512.0,281474976692544.0,281474976692512.0
110,,281474976692512.0,281474976692544.0,281474976692512.0
111,,281474976692512.0,281474976692544.0,281474976692512.0
112,,281474976692512.0,281474976692544.0,281474976692512.0
113,,281474976692512.0,281474976692544.0,281474976692512.0
114,,281474976692512.0,281474976692544.0,281474976692512.0
115,,281474976692512.0,281474976692544.0,281474976692512.0
116,,281474976692512.0,281474976692544.0,281474976692512.0
117,,281474976692512.0,281474976692544.0,281474976692512.0
118,,281474976692512.0,281474976692544.0,281474976692512.0
119,,281474976692512.0,281474976692544.0,281474976692512.0
120,,281474976692512.0,281474976692544.0,281474976692512.0
121,,281474976692512.0,281474976692544.0,281474976692512.0
122,,281474976692512.0,281474976692544.0,281474976692512.0
127,,281474976692576.0,281474976692608.0,281474976692576.0
128,,281474976692576.0,281474976692608.0,281474976692576.0
129,,281474976692576.0,281474976692608.0,281474976692576.0
130,,281474976692576.0,281474976692608.0,281474976692576.0
131,,281474976692576.0,281474976692608.0,281474976692576.0
