,s-1l,s-1u,s-2l,s-2u
228131,0.05389006810909606,0.0,0.05389006810909606,0.0
228137,0.9999897708184969,1.0,0.9999897708184969,1.0
228138,0.9999897708184969,1.0,0.9999897708184969,1.0
228139,0.9999897708184969,1.0,0.9999897708184969,1.0
228141,2.793967725147478e-09,0.0,0.9999897708184969,1.0
228142,2.793967725147478e-09,0.0,0.9999897708184969,1.0
228144,2.793967725147478e-09,0.0,2.793967725147478e-09,0.0
228145,2.793967725147478e-09,0.0,2.793967725147478e-09,0.0
228146,2.793967725147478e-09,0.0,2.793967725147478e-09,0.0
228147,2.793967725147478e-09,0.0,2.793967725147478e-09,0.0
228148,2.793967725147478e-09,0.0,2.793967725147478e-09,0.0
228150,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228151,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228152,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228153,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228154,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228155,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228156,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228157,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228158,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228159,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228160,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228161,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228162,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228163,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228164,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228165,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228166,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228167,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228168,0.9999898080713999,1.0,2.793967725147478e-09,0.0
228174,0.9999898900277866,1.0,0.9999898900277866,1.0
228175,0.9999898900277866,1.0,0.9999898900277866,1.0
228176,0.9999898900277866,1.0,0.9999898900277866,1.0
228178,3.259629012672058e-09,0.0,0.9999898900277866,1.0
228179,3.259629012672058e-09,0.0,0.9999898900277866,1.0
228182,0.9999898751266254,1.0,0.9999898751266254,1.0
228183,0.9999898751266254,1.0,0.9999898751266254,1.0
228184,0.9999898751266254,1.0,0.9999898751266254,1.0
228185,0.9999898751266254,1.0,0.9999898751266254,1.0
228186,0.9999898751266254,1.0,0.9999898751266254,1.0
228187,0.9999898751266254,1.0,0.9999898751266254,1.0
228189,4.656612875245797e-10,0.0,0.9999898751266254,1.0
228190,4.656612875245797e-10,0.0,0.9999898751266254,1.0
228191,4.656612875245797e-10,0.0,0.9999898751266254,1.0
228193,3.259629012672058e-09,0.0,4.656612875245797e-10,0.0
228194,3.259629012672058e-09,0.0,4.656612875245797e-10,0.0
228195,3.259629012672058e-09,0.0,4.656612875245797e-10,0.0
